IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.43.153,4,4,0.00,156.22,0.00
104.19.7.222,4,4,0.00,156.77,0.00
104.19.13.93,4,4,0.00,157.64,0.00
104.18.57.40,4,4,0.00,157.67,0.00
104.19.56.172,4,4,0.00,158.07,0.00
104.19.61.216,4,4,0.00,158.44,0.00
104.19.8.93,4,4,0.00,158.80,0.00
104.18.112.36,4,4,0.00,160.37,0.00
104.19.103.251,4,4,0.00,160.50,0.00
104.19.245.98,4,4,0.00,160.61,0.00
104.19.10.8,4,4,0.00,160.70,0.00
104.18.54.163,4,4,0.00,160.96,0.00
104.18.50.112,4,4,0.00,161.01,0.00
104.18.123.78,4,4,0.00,161.02,0.00
104.21.224.54,4,4,0.00,161.26,0.00
104.19.243.58,4,4,0.00,161.42,0.00
104.19.5.203,4,4,0.00,161.73,0.00
104.21.238.217,4,4,0.00,161.75,0.00
104.19.142.55,4,4,0.00,161.90,0.00
104.19.73.89,4,4,0.00,161.90,0.00
104.19.70.40,4,4,0.00,162.09,0.00
104.19.106.174,4,4,0.00,162.29,0.00
104.21.232.103,4,4,0.00,162.81,0.00
104.19.64.252,4,4,0.00,163.29,0.00
104.19.240.73,4,4,0.00,163.74,0.00
104.19.255.62,4,4,0.00,163.82,0.00
104.19.34.35,4,4,0.00,164.27,0.00
104.16.126.182,4,4,0.00,164.44,0.00
104.16.122.53,4,4,0.00,164.44,0.00
104.18.36.70,4,4,0.00,164.46,0.00
104.18.122.106,4,4,0.00,164.54,0.00
104.18.113.47,4,4,0.00,164.64,0.00
104.19.11.190,4,4,0.00,165.07,0.00
104.21.226.191,4,4,0.00,165.19,0.00
104.19.137.129,4,4,0.00,165.30,0.00
104.21.237.216,4,4,0.00,165.50,0.00
104.18.117.181,4,4,0.00,165.75,0.00
104.16.112.60,4,4,0.00,166.38,0.00
104.19.66.246,4,4,0.00,166.64,0.00
104.18.120.138,4,4,0.00,166.72,0.00
104.18.48.211,4,4,0.00,166.78,0.00
104.19.141.32,4,4,0.00,167.91,0.00
104.19.9.17,4,4,0.00,168.65,0.00
